,Event_Spec,Cruise,Latitude,Longitude,min_start_time,max_end_time,num_row_near,indexs
0,MTR_BCD2008603_1450_3106_3600_FALL,BCD2008603,43.4565,-65.4408,2000-12-15,2010-12-01,10.0,"[0, 728, 762, 1071, 2076, 2486, 2649, 2650, 2844, 3449]"
1,MTR_BCD2008603_1468_6523_3600_FALL,BCD2008603,43.4704,-65.7623,1999-11-29,2010-05-30,14.0,"[1, 377, 386, 444, 685, 807, 952, 1329, 1500, 2115, 4055, 4204, 4230, 4315]"
3,MTR_BCD2009603_1458_4245_3600_FALL,BCD2009603,44.5123,-64.0215,2005-11-28,2010-11-03,8.0,"[3, 2431, 2616, 2651, 3450, 3713, 3902, 4295]"
4,MTR_BCD2009603_1460_4159_3600_FALL,BCD2009603,43.3167,-65.8,2008-05-19,2010-05-29,3.0,"[4, 319, 843]"
5,MTR_BCD2009603_1539_6535_3600_FALL,BCD2009603,45.3473,-64.8325,2006-10-16,2010-07-31,9.0,"[5, 265, 337, 2487, 2504, 3036, 3493, 3586, 4244]"
6,MTR_BCD2009603_1540_4631_3600_FALL,BCD2009603,45.5563,-64.9155,2008-10-23,2009-11-26,4.0,"[6, 8, 3432, 3494]"
10,MTR_BCD2009603_1553_4240_3600_FALL,BCD2009603,43.9159,-64.8282,2004-12-26,2010-05-27,2.0,"[10, 1700]"
11,MTR_BCD2010603_1012_3389_3600_SPRING,BCD2010603,46.6544,-60.3794,1999-05-15,2011-11-07,12.0,"[11, 69, 121, 301, 644, 690, 1257, 1483, 1598, 1903, 3591, 4353]"
12,MTR_BCD2010603_1148_4230_3600_SPRING,BCD2010603,44.5683,-64.2,2000-08-05,2010-05-31,14.0,"[12, 34, 617, 789, 1225, 1243, 1466, 2117, 2333, 2337, 2775, 3253, 3508, 4323]"
14,MTR_BCD2010603_1098_1458_3600_SPRING,BCD2010603,44.764,-62.65,1999-04-21,2010-06-20,7.0,"[14, 304, 407, 3330, 3572, 4109, 4140]"
15,MTR_BCD2010603_1102_4265_3600_SPRING,BCD2010603,46.6943,-60.344,1999-05-15,2011-12-07,13.0,"[15, 61, 783, 942, 1076, 1551, 1602, 1604, 2954, 3099, 3243, 3705, 4326]"
16,MTR_BCD2010603_1246_4620_3600_SPRING,BCD2010603,43.5568,-65.92,2000-11-29,2010-05-29,12.0,"[16, 78, 611, 1111, 1239, 1933, 2324, 2420, 2682, 2878, 3175, 3301]"
17,MTR_BCD2010603_1268_4256_3600_SPRING,BCD2010603,44.935,-61.9917,2001-04-20,2010-06-20,9.0,"[17, 468, 792, 1137, 1168, 2127, 2759, 3469, 4183]"
18,MTR_BCD2010603_1296_4233_3600_SPRING,BCD2010603,45.1263,-61.5838,2003-04-19,2010-06-17,2.0,"[18, 4001]"
19,MTR_BCD2010603_1334_6519_3600_SPRING,BCD2010603,43.6017,-66.3954,2007-04-01,2010-05-31,4.0,"[19, 2611, 3091, 4169]"
20,MTR_BCD2010603_1342_4652_3600_SPRING,BCD2010603,43.541,-65.3287,2003-11-23,2010-05-31,6.0,"[20, 154, 335, 1180, 2937, 4147]"
21,MTR_BCD2010603_1444_3107_3600_SPRING,BCD2010603,45.5825,-60.7513,2005-12-05,2010-06-30,6.0,"[21, 40, 316, 2704, 3161, 4069]"
22,MTR_BCD2010603_1478_6525_3600_SPRING,BCD2010603,45.3457,-61.2787,2006-04-29,2010-06-30,5.0,"[22, 200, 2311, 2556, 3362]"
23,MTR_BCD2010603_1492_4622_3600_SPRING,BCD2010603,45.6103,-60.9684,2007-10-05,2010-06-30,4.0,"[23, 44, 3030, 3162]"
24,MTR_BCD2010603_1524_1511_3600_SPRING,BCD2010603,44.45,-63.6,2002-11-26,2010-11-01,5.0,"[24, 805, 1867, 3498, 4116]"
28,MTR_BCD2007603_1006_8899_3600_spring,BCD2007603,46.2263,-59.949,2000-04-07,2008-07-16,12.0,"[28, 76, 678, 1417, 1490, 1531, 1941, 2813, 3342, 3929, 4057, 4061]"
29,MTR_BCD2007603_1040_9051_3600_spring,BCD2007603,45.8427,-60.118,1999-05-15,2011-07-13,12.0,"[29, 683, 836, 1599, 1904, 2547, 2782, 3575, 3623, 3677, 3928, 4104]"
30,MTR_BCD2007603_1044_1674_3600_SPRING,BCD2007603,43.6525,-65.2578,1999-04-29,2008-05-30,18.0,"[30, 1155, 1277, 1412, 1690, 1729, 1786, 1868, 2031, 2792, 2865, 3012, 3109, 3280, 3414, 3777, 3829, 4345]"
31,MTR_BCD2007603_1058_1444_3600_spring,BCD2007603,44.879,-62.3423,1999-04-17,2010-06-20,18.0,"[31, 456, 458, 911, 1517, 1682, 1839, 2130, 2213, 2850, 2852, 3435, 3667, 4076, 4077, 4078, 4079, 4105]"
33,MTR_BCD2007603_1121_6534_1800_spring,BCD2007603,46.074,-59.8232,2000-05-15,2007-12-07,5.0,"[33, 3158, 3598, 3799, 3847]"
35,MTR_BCD2007603_1168_1436_3600_SPRING,BCD2007603,43.4733,-65.825,1999-10-12,2010-08-01,21.0,"[35, 167, 180, 253, 485, 506, 813, 1065, 1330, 1373, 2384, 2440, 2452, 2476, 2627, 2833, 3295, 3341, 3463, 4228, 4313]"
36,MTR_BCD2007603_1410_1423_3600_spring,BCD2007603,44.8831,-62.1254,2005-04-19,2007-06-21,3.0,"[36, 136, 754]"
37,MTR_BCD2007603_1422_8900_3600_FALL,BCD2007603,44.2595,-66.166,2004-01-12,2008-05-31,6.0,"[37, 1636, 1969, 2917, 3263, 3911]"
38,MTR_BCD2007603_1438_7174_3600_FALL,BCD2007603,44.1077,-66.3238,2006-11-27,2010-05-28,5.0,"[38, 247, 827, 4007, 4229]"
41,MTR_BCD2007603_1462_9061_3600_FALL,BCD2007603,43.636,-65.8398,2006-11-27,2009-12-01,7.0,"[41, 248, 2344, 2396, 3237, 3270, 3794]"
43,MTR_BCD2007603_1482_2107_3600_spring,BCD2007603,46.3505,-60.2563,1999-05-21,2007-11-07,4.0,"[43, 967, 2137, 2706]"
45,MTR_BCD2007603_1504_1437_3600_SPRING,BCD2007603,44.8217,-65.5233,2007-04-21,2008-07-31,3.0,"[45, 323, 3905]"
47,MTR_BCD2007603_1515_6516_3600_SPRING,BCD2007603,45.5153,-61.112,2007-02-05,2008-06-26,3.0,"[47, 2589, 2819]"
50,MTR_BCD2009604_2004_4893_900,BCD2009604,43.67,-65.83,2009-06-17,2013-10-10,5.0,"[50, 2455, 2569, 2663, 3615]"
51,MTR_BCD2009604_2005_4891_900,BCD2009604,43.66,-65.83,2003-11-23,2013-10-10,9.0,"[51, 869, 1647, 2550, 2566, 2658, 4209, 4349, 4351]"
